"","park","death_cause","death_group","intent","outcome","sex","age_range","activity","incident_date","year"
"2710","Denali National Park & Preserve","Aircraft incident","Other Transportation","Unintentional","Fatal Injury","Male","55-64","Flying",2018-08-04,2018
"2711","Denali National Park & Preserve","Aircraft incident","Other Transportation","Unintentional","Fatal Injury","Male","65+","Flying",2018-08-04,2018
"2712","North Cascades National Park","Fall","Fall","Unintentional","Fatal Injury","Male","55-64","Climbing",2018-08-04,2018
"2713","Gulf Islands National Seashore","Drowning","Drowning","Unintentional","Fatal Injury","Male","35-44","Swimming",2018-08-05,2018
"2714","Indiana Dunes National Park","Drowning","Drowning","Unintentional","Fatal Injury","Male","55-64","Swimming",2018-08-05,2018
"2715","Natchez Trace Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","15-24","Driving",2018-08-06,2018
"2716","Natchez Trace Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","55-64","Driving",2018-08-06,2018
"2717","Gateway National Recreation Area","Suicide","Suicide","Intentional","Fatal injury","Male","65+","Suicide",2018-08-08,2018
"2718","Olympic National Park","Undetermined","Undetermined","Undetermined","Fatal Injury","Male","65+","Driving",2018-08-08,2018
"2719","Sequoia & Kings Canyon National Parks","Drowning","Drowning","Unintentional","Fatal Injury","Male","15-24","Swimming",2018-08-09,2018
"2720","Blue Ridge Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","65+","Driving",2018-08-09,2018
"2721","Gulf Islands National Seashore","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Male","65+","Sitting",2018-08-10,2018
"2722","Ozark National Scenic Riverways","Fall","Fall","Unintentional","Fatal Injury","Female","25-34","Climbing",2018-08-11,2018
"2723","Yosemite National Park","Suicide","Suicide","Intentional","Fatal injury","Male","45-54","Suicide",2018-08-11,2018
"2724","Bighorn Canyon National Recreation Area","Vessel Incident","Other Transportation","Unintentional","Fatal Injury","Male","35-44","Vessel Related",2018-08-11,2018
"2725","Bighorn Canyon National Recreation Area","Vessel Incident","Other Transportation","Unintentional","Fatal Injury","Male","35-44","Vessel Related",2018-08-11,2018
"2726","Bighorn Canyon National Recreation Area","Vessel Incident","Other Transportation","Unintentional","Fatal Injury","Female","55-64","Vessel Related",2018-08-11,2018
"2727","Bighorn Canyon National Recreation Area","Vessel Incident","Other Transportation","Unintentional","Fatal Injury","Male","55-64","Vessel Related",2018-08-11,2018
"2728","Olympic National Park","Undetermined","Undetermined","Undetermined","Fatal Injury","Male","15-24","Not Reported",2018-08-12,2018
"2729","Great Smoky Mountains National Park","Undetermined","Undetermined","Undetermined","Fatal Injury","Male","45-54","Not Reported",2018-08-12,2018
"2730","Zion National Park","Fall","Fall","Unintentional","Fatal Injury","Male","45-54","Hiking",2018-08-13,2018
"2731","Olympic National Park","Medical - During physical activity","Medical - During physical activity","Medical","Fatal Injury","Female","25-34","Hiking",2018-08-13,2018
"2732","Mount Rainier National Park","Fall","Fall","Unintentional","Fatal Injury","Male","35-44","Climbing",2018-08-14,2018
"2733","Lake Mead National Recreation Area","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Not Reported","Not Reported","Driving",2018-08-14,2018
"2734","Lake Mead National Recreation Area","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Not Reported","Not Reported","Driving",2018-08-14,2018
"2735","Dry Tortugas National Park","Drowning","Drowning","Unintentional","Fatal Injury","Male","45-54","Snorkeling",2018-08-15,2018
"2736","San Juan Island National Historical Park","Undetermined","Undetermined","Undetermined","Fatal Injury","Male","Not Reported","Not Reported",2018-08-15,2018
"2737","Yosemite National Park","Suicide","Suicide","Intentional","Fatal injury","Male","55-64","Suicide",2018-08-16,2018
"2738","Big Cypress National Preserve","Homicide","Homicide","Intentional","Fatal Injury","Male","15-24","Homicide",2018-08-18,2018
"2739","Blue Ridge Parkway","Suicide","Suicide","Intentional","Fatal injury","Male","35-44","Suicide",2018-08-20,2018
"2740","Appalachian National Scenic Trail","Falling tree/branch","Environmental","Unintentional","Fatal Injury","Male","65+","Hiking",2018-08-21,2018
"2741","Curecanti National Recreation Area","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","55-64","Driving",2018-08-21,2018
"2742","Curecanti National Recreation Area","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Female","55-64","Driving",2018-08-21,2018
"2743","Assateague Island National Seashore","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Male","55-64","Other",2018-08-22,2018
"2744","Natchez Trace Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","65+","Driving",2018-08-22,2018
"2745","Padre Island National Seashore","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","45-54","Driving",2018-08-23,2018
"2746","Yosemite National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Female","45-54","Driving",2018-08-24,2018
"2747","New River Gorge National River","Suicide","Suicide","Intentional","Fatal injury","Male","15-24","Suicide",2018-08-25,2018
"2748","Rocky Mountain National Park","Fall","Fall","Unintentional","Fatal Injury","Male","55-64","Hiking",2018-08-26,2018
"2749","Glen Canyon National Recreation Area","Drowning","Drowning","Unintentional","Fatal Injury","Male","Not Reported","Swimming",2018-08-27,2018
"2750","Saguaro National Park","Undetermined","Undetermined","Undetermined","Fatal Injury","Not Reported","Not Reported","Not Reported",2018-08-31,2018
"2751","Lake Mead National Recreation Area","Drowning","Drowning","Unintentional","Fatal Injury","Male","45-54","Swimming",2018-09-01,2018
"2752","Blue Ridge Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Female","15-24","Driving",2018-09-01,2018
"2753","Blue Ridge Parkway","Suicide","Suicide","Intentional","Fatal injury","Male","35-44","Suicide",2018-09-01,2018
"2754","Lake Mead National Recreation Area","Medical - During physical activity","Medical - During physical activity","Medical","Fatal Injury","Male","45-54","Swimming",2018-09-02,2018
"2755","Suitland","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","35-44","Bicycling",2018-09-03,2018
"2756","Suitland","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","25-34","Walking",2018-09-03,2018
"2757","Yosemite National Park","Fall","Fall","Unintentional","Fatal Injury","Male","15-24","Photographing",2018-09-04,2018
"2758","Natchez Trace Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","15-24","Driving",2018-09-04,2018
"2759","New River Gorge National River","Suicide","Suicide","Intentional","Fatal injury","Male","15-24","Suicide",2018-09-04,2018
"2760","New River Gorge National River","Undetermined","Undetermined","Undetermined","Fatal Injury","Male","45-54","Not Reported",2018-09-04,2018
"2761","Shenandoah National Park","Homicide","Homicide","Intentional","Fatal Injury","Female","0-14","Homicide",2018-09-05,2018
"2762","Shenandoah National Park","Homicide","Homicide","Intentional","Fatal Injury","Female","45-54","Homicide",2018-09-05,2018
"2763","Delaware Water Gap National Recreation Area","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Female","55-64","Driving",2018-09-05,2018
"2764","Rocky Mountain National Park","Suicide","Suicide","Intentional","Fatal injury","Male","45-54","Suicide",2018-09-05,2018
"2765","Grand Canyon National Park","Drowning","Drowning","Unintentional","Fatal Injury","Male","65+","Swimming",2018-09-07,2018
"2766","Glen Canyon National Recreation Area","Medical - During physical activity","Medical - During physical activity","Medical","Fatal Injury","Male","65+","Vessel Related",2018-09-07,2018
"2767","Big South Fork National River and Recreation Area","Medical - During physical activity","Medical - During physical activity","Medical","Fatal Injury","Male","55-64","Hiking",2018-09-09,2018
"2768","Great Smoky Mountains National Park","Poisoning - drugs","Poisoning","Unintentional","Fatal Injury","Male","25-34","Other",2018-09-09,2018
"2769","Canaveral National Seashore","Drowning","Drowning","Unintentional","Fatal Injury","Male","15-24","Swimming",2018-09-10,2018
"2770","Sleeping Bear Dunes National Lakeshore","Medical - During physical activity","Medical - During physical activity","Medical","Fatal Injury","Female","65+","Walking",2018-09-12,2018
"2771","Redwood National and State Parks","Suicide","Suicide","Intentional","Fatal injury","Male","45-54","Suicide",2018-09-12,2018
"2772","White Sands National Park","Undetermined","Undetermined","Undetermined","Fatal Injury","Male","35-44","Hiking",2018-09-12,2018
"2773","Golden Gate National Recreation Area","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Male","65+","Sitting",2018-09-13,2018
"2774","Organ Pipe Cactus National Monument","Undetermined","Undetermined","Undetermined","Fatal Injury","Male","35-44","Illegal activity",2018-09-14,2018
"2775","Grand Teton National Park","Widlife incident","Wildlife Incident","Unintentional","Fatal Injury","Male","35-44","Hunting",2018-09-14,2018
"2776","Cape Cod National Seashore","Widlife incident","Wildlife Incident","Unintentional","Fatal Injury","Male","25-34","Vessel Related",2018-09-15,2018
"2777","Great Smoky Mountains National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Female","45-54","Driving",2018-09-17,2018
"2778","Great Smoky Mountains National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Female","45-54","Driving",2018-09-17,2018
"2779","Great Smoky Mountains National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Female","65+","Driving",2018-09-17,2018
"2780","Pictured Rocks National Lakeshore","Fall","Fall","Unintentional","Fatal Injury","Female","25-34","Photographing",2018-09-19,2018
"2781","Arches National Park","Medical - During physical activity","Medical - During physical activity","Medical","Fatal Injury","Male","65+","Hiking",2018-09-19,2018
"2782","Grand Canyon National Park","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Male","45-54","Other",2018-09-19,2018
"2783","Glen Canyon National Recreation Area","Drowning","Drowning","Unintentional","Fatal Injury","Male","35-44","Swimming",2018-09-22,2018
"2784","Natchez Trace Parkway","Homicide","Homicide","Intentional","Fatal Injury","Male","15-24","Homicide",2018-09-24,2018
"2785","Yosemite National Park","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Male","55-64","Driving",2018-09-25,2018
"2786","Olympic National Park","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Male","65+","Sleeping",2018-09-25,2018
"2787","Organ Pipe Cactus National Monument","Undetermined","Undetermined","Undetermined","Fatal Injury","Male","45-54","Illegal activity",2018-09-25,2018
"2788","Mesa Verde National Park","Suicide","Suicide","Intentional","Fatal injury","Female","15-24","Suicide",2018-09-27,2018
"2789","Great Smoky Mountains National Park","Undetermined","Undetermined","Undetermined","Fatal Injury","Female","55-64","Hiking",2018-09-27,2018
"2790","Glacier Bay National Park & Preserve","Aircraft incident","Other Transportation","Unintentional","Fatal Injury","Male","0-14","Flying",2018-09-28,2018
"2791","Glacier Bay National Park & Preserve","Aircraft incident","Other Transportation","Unintentional","Fatal Injury","Male","35-44","Flying",2018-09-28,2018
"2792","Glacier Bay National Park & Preserve","Aircraft incident","Other Transportation","Unintentional","Fatal Injury","Male","45-54","Flying",2018-09-28,2018
"2793","Glen Canyon National Recreation Area","Drowning","Drowning","Unintentional","Fatal Injury","Male","0-14","Vessel Related",2018-09-28,2018
"2794","Crater Lake National Park","Suicide","Suicide","Intentional","Fatal injury","Male","65+","Suicide",2018-09-28,2018
"2795","Cape Cod National Seashore","Drowning","Drowning","Unintentional","Fatal Injury","Male","25-34","Swimming",2018-09-29,2018
"2796","Grand Canyon National Park","Medical - Unknown","Medical - Unknown","Medical","Fatal Injury","Male","65+","Not Reported",2018-09-30,2018
"2797","Gateway National Recreation Area","Suicide","Suicide","Intentional","Fatal injury","Male","65+","Suicide",2018-09-30,2018
"2798","Grand Canyon National Park","Fall","Fall","Unintentional","Fatal Injury","Female","15-24","Not Reported",2018-10-01,2018
"2799","Cape Hatteras National Seashore","Medical - During physical activity","Medical - During physical activity","Medical","Fatal Injury","Male","55-64","Swimming",2018-10-01,2018
"2800","Appalachian National Scenic Trail","Medical - During physical activity","Medical - During physical activity","Medical","Fatal Injury","Male","65+","Walking",2018-10-01,2018
"2801","Shenandoah National Park","Suicide","Suicide","Intentional","Fatal injury","Male","65+","Suicide",2018-10-01,2018
"2802","Grand Canyon National Park","Undetermined","Undetermined","Undetermined","Fatal Injury","Male","25-34","Hiking",2018-10-01,2018
